"財團法人彭婉如文教基金會附設高雄市私立平等非營利幼兒園(高雄市政府委託辦理)
圖書清冊",,,,,,,,,,
圖書分類代號別：藍色-->繪本(美感)  紅色-->身體健康(飲食、保健) 黃色-->語文類   (生命教育類)             綠色-->自然科學類  粉紅色-->社會(社區類)  紫色-->性別教育    淺藍色-->情緒,,,,,,,,,,
數量,編碼,圖書分類,書名,出版社,單位,數量,備註,分類,,
165,007-4-07-EA-165,繪本,青蛙樂隊,青林 ,本,1,105.09購入,藍色,,
166,007-4-07-EA-166,生命教育,記得我們的約定唷,東方,本,1,105.09購入,黃色,,
167,007-4-07-EA-167,健康,爺爺的有機麵包,聯經,本,1,105.09購入,紅色,,
168,007-4-07-EA-168,情緒,我有友情要出租,國語日報,本,1,105.09購入,淺藍色,,
169,007-4-07-EA-169,情緒,阿尼，加油！,幼獅文化,本,1,105.09購入,淺藍色,,
170,007-4-07-EA-170,繪本,早起的一天,親子天下,本,1,105學年度教保資源中心,藍色,,
171,007-4-07-EA-171,情緒,生氣王子,親子天下,本,1,105學年度教保資源中心,淺藍色,,
172,007-4-07-EA-172,情緒,愛哭公主,親子天下,本,1,105學年度教保資源中心,淺藍色,,
173,007-4-07-EA-173,社區,我和我家附近的野狗們,親子天下,本,1,105學年度教保資源中心,粉紅色,,
174,007-4-07-EA-174,繪本,長襪皮皮,親子天下,本,1,105學年度教保資源中心,藍色,,
175,007-4-07-EA-175,語文,長襪皮皮到南島,親子天下,本,1,105學年度教保資源中心,黃色,,
176,007-4-07-EA-176,語文,長襪皮皮出海去,親子天下,本,1,105學年度教保資源中心,黃色,,
177,007-4-07-EA-177,語文,長襪皮皮來嘍！,親子天下,本,1,105學年度教保資源中心,黃色,,
178,007-4-07-EA-178,語文,親愛的,小天下,本,1,105學年度教保資源中心,黃色,,
179,007-4-07-EA-179,繪本,酷比的博物館,小天下,本,1,105學年度教保資源中心,藍色,,
180,007-4-07-EA-180,繪本,酷比的音樂會,小天下,本,1,105學年度教保資源中心,藍色,,
181,007-4-07-EA-181,社會,猜猜看商店,小天下,本,1,105學年度教保資源中心,粉紅色,,
182,007-4-07-EA-182,,沒有不好玩的時候,小魯文化,本,1,105學年度教保資源中心,,,
183,007-4-07-EA-183,社會,了不起的妳,小魯文化,本,1,105學年度教保資源中心,粉紅色,,
184,007-4-07-EA-184,語文,勇氣,小魯文化,本,1,105學年度教保資源中心,黃色,,
185,007-4-07-EA-185,語文,小不點,小魯文化,本,1,105學年度教保資源中心,黃色,,
186,007-4-07-EA-186,繪本,小豬上街買東西,小魯文化,本,1,105學年度教保資源中心,藍色,,
187,007-4-07-EA-187,情緒,要不要？,三之三,本,1,105學年度教保資源中心,淺藍色,,
188,007-4-07-EA-188,情緒,好消息壞消息,三之三,本,1,105學年度教保資源中心,淺藍色,,
189,007-4-07-EA-189,性別教育,奧力佛是個娘娘腔,三之三,本,1,105學年度教保資源中心,紫色,,
190,007-4-07-EA-190,情緒,一定要誰讓誰嗎？,大穎文化,本,1,105學年度教保資源中心,淺藍色,,
191,007-4-07-EA-191,語文,不要隨便跟陌生人走,大穎文化,本,1,105學年度教保資源中心,黃色,,
192,007-4-07-EA-192,繪本,慌張先生,信誼,本,1,105學年度教保資源中心,藍色,,
193,007-4-07-EA-193,社區,我的百變馬桶,維京,本,1,105學年度教保資源中心,粉紅色,,
194,007-4-07-EA-194,社區,我的飛天浴缸,維京,本,1,105學年度教保資源中心,粉紅色,,
195,007-4-07-EA-195,社區,我和別人不一樣，也很棒！,童夢館,本,1,105學年人權活動繪本,粉紅色,,
196,007-4-07-EA-196,社區,和平樹,小魯,本,1,105學年人權活動繪本,粉紅色,,
197,007-4-07-EA-197,社區,動物絕對不應該穿衣服,小魯,本,1,105學年人權活動繪本,粉紅色,,
198,007-4-07-EA-198,社區,最想做的事,遠流,本,1,105學年人權活動繪本,粉紅色,,
199,007-4-07-EA-199,社區,烏鴉太郎,遠流,本,1,105學年人權活動繪本,粉紅色,,
200,007-4-07-EA-200,社區,路芭-貝爾森的天使,道聲,本,1,105學年人權活動繪本,粉紅色,,
201,007-4-07-EA-201,社區,公園小霸王,東方,本,1,105學年人權活動繪本,粉紅色,,
202,007-4-07-EA-202,社區,我是獨特的,小魯,本,1,105學年人權活動繪本,粉紅色,,
203,007-4-07-EA-203,社區,把帽子還給我,小魯,本,1,105學年人權活動繪本,粉紅色,,
204,007-4-07-EA-204,社區,請不要忘記那些孩子,遠流,本,1,105學年人權活動繪本,粉紅色,,
205,007-4-07-EA-205,社區,水蜜桃阿嬤,格林,本,1,105學年人權活動繪本,粉紅色,,
206,007-4-07-EA-206,社區,向夢想前進的女孩,青林國際,本,1,105學年人權活動繪本,粉紅色,,
207,007-4-07-EA-207,社區,瘋狂愛上書,阿布拉教育文化,本,1,105學年人權活動繪本,粉紅色,,
208,007-4-07-EA-208,社區,黑白村莊,和英文化,本,1,105學年人權活動繪本,粉紅色,,
209,007-4-07-EA-209,社區,奔流之河,維京國際,本,1,105學年人權活動繪本,粉紅色,,
210,007-4-07-EA-210,身體健康,奶茶好好喝,彩虹愛家,本,1,105學年親子講座-綠食育 繪本,黃色,,
211,007-4-07-EA-211,身體健康,好一個瓜啊！,小魯,本,1,105學年親子講座-綠食育 繪本,黃色,,
212,007-4-07-EA-212,身體健康,黃金便便大出來,上人文化,本,1,105學年親子講座-綠食育 繪本,黃色,,
213,007-4-07-EA-213,身體健康,不要吃不良食品！,上人文化,本,1,105學年親子講座-綠食育 繪本,黃色,,
214,007-4-07-EA-214,身體健康,我家有個花果菜園,親子天下,本,1,105學年親子講座-綠食育 繪本,黃色,,
215,007-4-07-EA-215,身體健康,米飯的香甜滋味,上人文化,本,1,105學年親子講座-綠食育 繪本,黃色,,
216,007-4-07-EA-216,身體健康,阿平的菜單,上人文化,本,1,105學年親子講座-綠食育 繪本,黃色,,
217,007-4-07-EA-217,身體健康,班班愛漢堡,親子天下,本,1,105學年親子講座-綠食育 繪本,黃色,,
218,007-4-07-EA-218-1,身體健康,最佳食物拍檔,,,,105學年親子講座-綠食育 繪本,黃色,,
219,007-4-07-EA-218-2,身體健康,魔法女巫的奇特食物,,,,105學年親子講座-綠食育 繪本,黃色,,
220,007-4-07-EA-218-3,身體健康,冷熱料理比一比,,,,105學年親子講座-綠食育 繪本,黃色,,
221,007-4-07-EA-218-4,身體健康,吃什麼顏色好呢？,,,,105學年親子講座-綠食育 繪本,黃色,,
222,007-4-07-EA-219-1,身體健康,壯壯超人的均衡飲食,,,,105學年親子講座-綠食育 繪本,黃色,,
223,007-4-07-EA-219-2,身體健康,慢慢吃，不要急,,,,105學年親子講座-綠食育 繪本,黃色,,
224,007-4-07-EA-219-3,身體健康,地球人的用餐禮儀,,,,105學年親子講座-綠食育 繪本,黃色,,
225,007-4-07-EA-219-4,身體健康,大家為什麼要吃飯？,,,,105學年親子講座-綠食育 繪本,黃色,,
226,007-4-07-EA-219-5,身體健康,吃出好味道,,,,105學年親子講座-綠食育 繪本,黃色,,
227,007-4-07-EA-219-6,身體健康,和機器王的飲食之旅,,,,105學年親子講座-綠食育 繪本,黃色,,
228,007-4-07-EA-220-1,繪本,威力在哪裡,,,,家長提供,藍色,,
229,007-4-07-EA-220-2,繪本,穿越時空之旅,,,,家長提供,藍色,,
230,007-4-07-EA-220-3,繪本,奇幻大冒險,,,,家長提供,藍色,,
231,007-4-07-EA-220-4,繪本,電影夢工廠,,,,家長提供,藍色,,
232,007-4-07-EA-220-5,繪本,驚奇魔法書,,,,家長提供,藍色,,
233,007-4-07-EA-221,社區,大人上班都在做什麼？,台灣麥克,,,家長提供,粉紅色,,
234,007-4-07-EA-222,繪本,先左腳，再右腳,漢聲,本,1,106.01購入,藍色,,
235,007-4-07-EA-223,繪本,挪亞方舟,漢聲,本,1,106.01購入,藍色,,
236,007-4-07-EA-224,繪本,顏色是怎麼來的？,漢聲,本,1,106.01購入,藍色,,
237,007-4-07-EA-225,繪本,我們是好朋友,漢聲,本,1,106.01購入,藍色,,
238,007-4-07-EA-226,繪本,再見，斑斑,漢聲,本,1,106.01購入,藍色,,
239,007-4-07-EA-227,自然科學,牛奶盒做玩具,漢聲,本,1,106.01購入,綠色,,
240,007-4-07-EA-228,自然科學,空罐子真好玩,漢聲,本,1,106.01購入,綠色,,
241,007-4-07-EA-229,自然科學,大家來玩黏土,漢聲,本,1,106.01購入,綠色,,
242,007-4-07-EA-230,社會,我和小凱絕交了,漢聲,本,1,106.01購入,粉紅色,,
243,007-4-07-EA-231,情緒,我好擔心,三芝三,本,1,106.01購入,淺藍色,,
244,007-4-07-EA-232,繪本,像新的一樣好,漢聲,本,1,106.01購入,藍色,,
245,007-4-07-EA-233,繪本,三隻山羊嘎拉 嘎啦,遠流,本,1,106.01購入,藍色,,
246,007-4-07-EA-234,繪本,野獸國,漢聲,本,1,106.01購入,藍色,,
247,007-4-07-EA-235,繪本,祖母的妙法,漢聲,本,1,106.01購入,藍色,,
248,007-4-07-EA-236,繪本,風喜歡和我玩,遠流,本,1,106.01購入,藍色,,
249,007-4-07-EA-237,繪本,我最喜歡爺爺,漢聲,本,1,106.01購入,藍色,,
250,007-4-07-EA-238,繪本,彩虹恐龍,永達,本,1,106.01購入,藍色,,
251,007-4-07-EA-239,繪本,用愛心說實話,和英出版,本,1,106.01購入,藍色,,
252,007-4-07-EA-240,繪本,我有友情要出租,上提文化,本,1,106.01購入,藍色,,
253,007-4-07-EA-241,繪本,你看我有什麼！,漢聲,本,1,106.01購入,藍色,,
254,007-4-07-EA-242,繪本,鱷魚放假了,漢聲,本,1,106.01購入,藍色,,
255,007-4-07-EA-243,生命教育,安安-和白血病作戰的男孩,漢聲,本,1,106.01購入,黃色,,
256,007-4-07-EA-244,自然科學,形形色色的骨頭,東西出版,本,1,106.01購入,綠色,,
257,007-4-07-EA-245,繪本,野獸國,漢聲,本,1,106.01購入,藍色,,
258,007-4-07-EA-246,社會,我和小凱絕交了,漢聲,本,1,106.01購入,粉紅色,,
259,007-4-07-EA-247,繪本,今天是什麼日子,漢聲,本,1,106.01購入,藍色,,
260,007-4-07-EA-248,繪本,黑面琵鷺來過冬,格林,本,1,105學年親子講座-環境綠繪本,藍色,,
261,007-4-07-EA-249,繪本,挖土機年年作響-鄉村變了,和英,本,1,105學年親子講座-環境綠繪本,藍色,,
262,007-4-07-EA-250,繪本,365隻企鵝,上誼,本,1,105學年親子講座-環境綠繪本,藍色,,
263,007-4-07-EA-251,,做好事，由我開始,大穎文化,本,1,106.07購入,,,
264,007-4-07-EA-252,,如果有一天 我們都沒有東西吃,大穎文化,本,1,106.07購入,,,
265,007-4-07-EA-253,,第一次自己搭公車,大穎文化,本,1,106.07購入,,,
266,007-4-07-EA-254,,最喜歡媽媽了！,小魯,本,1,106.07購入,,,
